oscode	full_name	short_name
9ENTR	Enterobacter hormaechei	E. hormaechei
ACIBA	Acinetobacter baumannii	A. baumannii
BURPE	Burkholderia pseudomallei	B. pseudomallei
CAMJU	Campylobacter jejuni	C. jejuni
CLODI	Clostridioides difficile	C. difficile
ECOLX	Escherichia coli	E. coli
ENTFC	Enterococcus faecium	E. faecium
HELPX	Helicobacter pylori	H. pylori
KLEPN	Klebsiella pneumoniae	K. pneumoniae
LEGPN	Legionella pneumophila	L. pneumophila
LISMN	Listeria monocytogenes	L. monocytogenes
MYCTX	Mycobacterium tuberculosis	M. tuberculosis
NEIGO	Neisseria gonorrhoeae	N. gonorrhoeae
NEIME	Neisseria meningitidis	N. meningitidis
PSEAI	Pseudomonas aeruginosa	P. aeruginosa
SALER	Salmonella enterica	S. enterica
SHIFL	Shigella flexneri	S. flexneri
STAAU	Staphylococcus aureus	S. aureus
STREE	Streptococcus pneumoniae	S. pneumoniae
VIBCL	Vibrio cholerae	V. cholerae
